extension,char,codepoint
Extension A,䃾,U+40FE
Extension A,㰥,U+3C25
Extension A,䖴,U+45B4
Extension A,㤭,U+392D
Extension A,䀸,U+4038
Extension A,㦏,U+398F
Extension A,䢜,U+489C
Extension A,㮄,U+3B84
Extension A,㵀,U+3D40
Extension A,䊤,U+42A4
Extension A,䱻,U+4C7B
Extension A,㢺,U+38BA
Extension A,䬜,U+4B1C
Extension A,䖉,U+4589
Extension A,㼩,U+3F29
Extension A,㩍,U+3A4D
Extension A,䙛,U+465B
Extension A,㯮,U+3BEE
Extension A,㕑,U+3551
Extension A,㢎,U+388E
Extension A,㦔,U+3994
Extension A,䜕,U+4715
Extension A,䆁,U+4181
Extension A,䐤,U+4424
Extension A,㿨,U+3FE8
Extension A,㒫,U+34AB
Extension A,㫷,U+3AF7
Extension A,㣃,U+38C3
Extension A,䤌,U+490C
Extension A,䞩,U+47A9
Extension A,㥆,U+3946
Extension A,䌶,U+4336
Extension A,䋧,U+42E7
Extension A,㜀,U+3700
Extension A,䊠,U+42A0
Extension A,㷃,U+3DC3
Extension A,䮡,U+4BA1
Extension A,䦜,U+499C
Extension A,㘝,U+361D
Extension A,䭾,U+4B7E
Extension A,䓤,U+44E4
Extension A,㬌,U+3B0C
Extension A,㔕,U+3515
Extension A,䦒,U+4992
Extension A,䱓,U+4C53
Extension A,䬗,U+4B17
Extension A,㚹,U+36B9
Extension A,䠒,U+4812
Extension A,㴲,U+3D32
Extension A,䕨,U+4568
Extension A,㰂,U+3C02
Extension A,㷜,U+3DDC
Extension A,䧆,U+49C6
Extension A,㑣,U+3463
Extension A,䡊,U+484A
Extension A,䄭,U+412D
Extension A,㲤,U+3CA4
Extension A,㣢,U+38E2
Extension A,䘃,U+4603
Extension A,䫃,U+4AC3
Extension A,㐜,U+341C
Extension A,䆖,U+4196
Extension A,㸅,U+3E05
Extension A,㘺,U+363A
Extension A,㐪,U+342A
Extension A,䨵,U+4A35
Extension A,㨛,U+3A1B
Extension A,䂱,U+40B1
Extension A,㒟,U+349F
Extension A,㚰,U+36B0
Extension A,䞤,U+47A4
Extension A,㣎,U+38CE
Extension A,㞶,U+37B6
Extension A,㩱,U+3A71
Extension A,㸄,U+3E04
Extension A,㥼,U+397C
Extension A,㦮,U+39AE
Extension A,㹵,U+3E75
